sweep,offset_scale,offset_mode_setting,offset_source,island_offset_version,is_control,Hs_m,wave_period_s,wave_asymmetry,wave_angle_high_fraction,period,source_sink_preset,status,mean_bias_interior_m_yr,rmse_interior_m_yr,variance_explained,pattern_variance_explained,r_alongshore,model_sd_m_yr,sd_ratio,endpoint_mean_bias_interior_m_yr,endpoint_rmse_interior_m_yr,lrr_r2_median,roads_drowned,run_name,run_dir,log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.5,0.1,1996-2010,zeroBE,scored,0.004233861853967438,1.0522935900859893,0.1969321145816969,0.1969451148338428,0.5017658469894413,0.3142540204561472,0.2676209124484852,-0.007787093359634991,1.0564126390415594,0.8576553361035573,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.5_highangle0.1.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.5,0.2,1996-2010,zeroBE,scored,0.022136820133337134,1.0645404467284814,0.17813072912936379,0.17848612213932036,0.49391702102723856,0.2795304293602826,0.23805006043814428,0.01134843095117351,1.0685986067607047,0.8540430780065361,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p2,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p2,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.5_highangle0.2.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.5,0.3,1996-2010,zeroBE,scored,0.03729469908376813,1.0835562077071912,0.1485065764394543,0.14951530106608502,0.46328795331042344,0.24436262215526758,0.2081009108954994,0.029157895840665127,1.0884893697965177,0.8509420612635209,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p3,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p3,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.5_highangle0.3.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.5,0.4,1996-2010,zeroBE,scored,0.052291764162743275,1.1090673172114784,0.1079396760855772,0.10992277783030191,0.39081346361412433,0.21594694615035812,0.18390192330820904,0.04290434284986145,1.1150576712759408,0.857535977764018,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p4,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p5ahf0p4,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.5_highangle0.4.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.6,0.1,1996-2010,zeroBE,scored,0.004856606479138204,1.052500919222797,0.19661563299253104,0.19663273882596333,0.5024820947013562,0.3125201981456398,0.26614437729361906,-0.007207367648805363,1.0567815687989461,0.8569431674559049,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.6_highangle0.1.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.6,0.2,1996-2010,zeroBE,scored,0.022663503818763465,1.0650492088335521,0.1773449706195982,0.1777174759706851,0.49370574123980293,0.2780001081702405,0.23674682825475374,0.011790252186562903,1.0692434150290862,0.8540627636457444,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p2,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p2,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.6_highangle0.2.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.6,0.3,1996-2010,zeroBE,scored,0.03767195688630943,1.0844093679629943,0.14716516685011372,0.14819440237963444,0.4615324184309597,0.24299833480410235,0.2069390742856422,0.029439008358251095,1.089470881055303,0.8524938241196431,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p3,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p3,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.6_highangle0.3.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.6,0.4,1996-2010,zeroBE,scored,0.05246467563633808,1.110420339373261,0.10576178552181992,0.10775802386579048,0.3859330255874743,0.21487494871838958,0.1829890028291984,0.0429559118923845,1.1165261423332875,0.8575347623907699,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p4,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1asym0p6ahf0p4,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.6_highangle0.4.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.7,0.1,1996-2010,zeroBE,scored,0.00550342970011495,1.0527567255489467,0.19622506653512672,0.1962470322456259,0.5030803761586602,0.31078072103869286,0.26466302647472206,-0.006636567384108621,1.0571684600962268,0.8562235976263688,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.7_highangle0.1.log
wave_angle,div10,asrun,duneline,duneline/superseded_20260924_pre-metres/v1,True,1.0,8.0,0.7,0.2,1996-2010,zeroBE,scored,0.0208581740367626,1.066351360505959,0.17533215006158243,0.17564767303253503,0.4892111163600424,0.2781358912121122,0.2368624620388752,0.010302215545492972,1.0706097362432316,0.854077015406502,0,HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1ahf0p2,runs_wave_angle/div10_duneline/1996_2010/zeroBE/HAT_1996_2010_zeroBE_road_bdm_nogroin_waveHs1ahf0p2,logs/wave_angle/div10_duneline/Hs1.0_asymmetry0.7_highangle0.2.log
