FID_All_Shorelines_UTM,ATTRIBUTE,DATA_SOURC,EXT_METH,DAT_SET_CR,NOAA_Regio,Shape_Leng,Year,RouteID,Date,Uncy,Source,Source_b,UNCERT,FID_Transects_100m_Transects_100m_AddSpatialJoin,Transects_100m_LineID,Transects_100m_AddSpatialJoin_OBJECTID,Transects_100m_AddSpatialJoin_Join_Count,Transects_100m_AddSpatialJoin_TARGET_FID,Transects_100m_AddSpatialJoin_Coords,Transects_100m_AddSpatialJoin_domain_id,Transects_100m_AddSpatialJoin_reach,Transects_100m_AddSpatialJoin_z_mean,Transects_100m_AddSpatialJoin_z_max,Transects_100m_AddSpatialJoin_z_min,Transects_100m_AddSpatialJoin_relief_m,Transects_100m_AddSpatialJoin_slope_avg,Transects_100m_AddSpatialJoin_road_z,Transects_100m_AddSpatialJoin_shch_myr,Transects_100m_AddSpatialJoin_eros_hot,Transects_100m_AddSpatialJoin_bnour,Transects_100m_AddSpatialJoin_bnour_yr,Transects_100m_AddSpatialJoin_bnour_src,Transects_100m_AddSpatialJoin_armor,Transects_100m_AddSpatialJoin_editor,Transects_100m_AddSpatialJoin_edit_date,Transects_100m_AddSpatialJoin_notes,Transects_100m_AddSpatialJoin_hotspot,Transects_100m_AddSpatialJoin_Shape_Length,Distance_from_Datum,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
13,,,,,,363.374775715999988,2009,96,08/19/2009,0.0000000,USGS,lidar,,17,17.000000000000000,17,1,17,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8066.195734706592702,460198.594834706629626,3899361.542425031773746
13,,,,,,363.374775715999988,2009,96,08/19/2009,0.0000000,USGS,lidar,,18,18.000000000000000,18,1,18,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8050.213736875974064,460198.594836875854526,3899461.542425378225744
13,,,,,,363.374775715999988,2009,96,08/19/2009,0.0000000,USGS,lidar,,19,19.000000000000000,19,1,19,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8033.017239044480448,460198.594839044904802,3899561.542325751390308
14,,,,,,244.303160773999991,2009,98,08/19/2009,0.0000000,USGS,lidar,,25,25.000000000000000,25,1,25,3900040,3,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,7925.098252059719016,460198.594852059904952,3900161.542228092905134
14,,,,,,244.303160773999991,2009,98,08/19/2009,0.0000000,USGS,lidar,,26,26.000000000000000,26,1,26,3900040,3,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,7903.280254228915510,460198.594854229071643,3900261.542228566017002
14,,,,,,244.303160773999991,2009,98,08/19/2009,0.0000000,USGS,lidar,,27,27.000000000000000,27,1,27,3900543,4,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,7893.739156398050909,460198.594856398238335,3900361.542228772770613
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,2,2.000000000000000,2,0,2,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8238.913002168877938,460198.594802169245668,3897861.542721285019070
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,3,3.000000000000000,3,0,3,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8228.447904338363514,460198.594804338412359,3897961.542721511796117
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,4,4.000000000000000,4,0,4,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8216.483906507784923,460198.594806507520843,3898061.542721771169454
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,5,5.000000000000000,5,0,5,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8200.905108676759482,460198.594808676745743,3898161.542722109239548
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,6,6.000000000000000,6,0,6,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8193.728710845696696,460198.594810845912434,3898261.542622264940292
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,7,7.000000000000000,7,0,7,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8183.338813014970583,460198.594813015020918,3898361.542622490320355
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,8,8.000000000000000,8,0,8,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8168.323215184560468,460198.594815184187610,3898461.542622815817595
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,9,9.000000000000000,9,0,9,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8152.632617353405294,460198.594817353354301,3898561.542623156215996
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,10,10.000000000000000,10,0,10,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8141.996119522549634,460198.594819522520993,3898661.542623387183994
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,11,11.000000000000000,11,0,11,,,,,,,,,,,,,,,,,,,,10000.000000000000000,,1,8128.362321691705802,460198.594821691629477,3898761.542523682583123
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,12,12.000000000000000,12,1,12,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8120.397523860681758,460198.594823860796168,3898861.542523855809122
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,13,13.000000000000000,13,1,13,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8107.438026029967659,460198.594826029962860,3898961.542524136602879
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,14,14.000000000000000,14,1,14,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8097.121528199410022,460198.594828199129552,3899061.542524360585958
15,,,,,,1384.942903160000014,2009,95,08/19/2009,0.0000000,USGS,lidar,,15,15.000000000000000,15,1,15,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,8095.153830368655690,460198.594830368296243,3899161.542424403131008
16,,,,,,3141.256789940000090,2009,118,08/19/2009,0.0000000,USGS,lidar,,145,145.000000000000000,145,1,145,3912125,27,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,5557.346512359394183,460198.595112358976621,3912161.539579452015460
16,,,,,,3141.256789940000090,2009,118,08/19/2009,0.0000000,USGS,lidar,,146,146.000000000000000,146,1,146,3912125,27,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,5530.476914527769623,460198.595114528143313,3912261.539480034727603
16,,,,,,3141.256789940000090,2009,118,08/19/2009,0.0000000,USGS,lidar,,147,147.000000000000000,147,1,147,3912125,27,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,10000.000000000000000,,1,5502.264816697687820,460198.595116697251797,3912361.539480647072196
