path,files,bytes,reason
1984-start\dune-topo\v3,184,4786799,"LAYER: v2 + rows at the 10 relocation-block domains, measured + floor. Deleted with every layer: Hannah's decision 2026-09-07 to keep only UNMODIFIED topography (v1, v2). Its README, RUN_MANIFEST, insert audit and setback CSV went with it; the build recipe is in row-insert-scope/DUNE_TOPO_VERSION_GUIDE.md"
1984-start\dune-topo\v4,184,4827710,"LAYER: v2 + rows at all 38 measured domains, measured + floor; the rule that shipped 09-03. Same reason"
1984-start\dune-topo\v5,184,4828141,"LAYER: same rows, measured + median; the fill decided 09-04, and the topography under the 09-04 calibration-tree HAT_1984_2004_calibBE_road_bdm_groin (its metadata says v6, the as-built name). Same reason; that run was re-run on v2 the same day"
1984-start\dune-topo\v6,184,4821193,"LAYER: same rows, flat backdune platform (reference arm). Same reason"
1984-start\dune-topo\v7,184,4822042,"LAYER: same rows, matched backdune, crest kept. Same reason"
1984-start\dune-topo\v8,184,4821886,"LAYER: same rows, matched backdune, crest skipped. Same reason"
output\raw_runs\row-insert,168,4248323888,"the six-fill set of 2026-09-04: five fill arms (v4-v8) plus the controls none (v2) and original (v1), each with its relocation-ON partner; 14 runs. The comparison is abandoned with the layers and the controls went with it (Hannah's call). Its findings survive in LINEAGE.md (2026-09-04 entries) and scripts/hatteras_ms/RELOCATION_COMPARISON_RESULTS.md"
output\raw_runs\blocksv4,9,298609802,"crest-experiment arm on as-built v4 (today's v3), relocations on. Run on a layer"
output\raw_runs\blocksv4noreloc,9,298609585,"same arm, relocations off"
output\raw_runs\islandv5,9,300145708,"island-scope arm on as-built v5 (today's v4), relocations on. Run on a layer"
output\raw_runs\blocksdate,9,300993338,"block-scope insert on the pre-re-pick v1 (as-built v2; topography deleted 2026-09-03), relocations on. Run on modified topography whose inputs were already gone"
output\raw_runs\blocksdatenoreloc,9,300993068,"same arm, relocations off"
output\raw_runs\blocksdsas,9,300790656,"N-source arm on v1_blocks_measured_dsas (topography deleted 2026-09-03), relocations on"
output\raw_runs\blocksdsasnoreloc,9,300788817,"same arm, relocations off"
output\raw_runs\blocksduneline,9,301310624,"N-source arm on v1_blocks_measured_duneline (topography deleted 2026-09-03), relocations on"
output\raw_runs\blocksdunelinenoreloc,9,301310343,"same arm, relocations off"
output\raw_runs\blocksminimum,9,300644974,"N-source arm on v1_blocks_minimum (topography deleted 2026-09-03), relocations on"
output\raw_runs\blocksminimumnoreloc,9,300643882,"same arm, relocations off"
output\raw_runs\pea1989keep,9,300891153,"crest-shaving arm on v1_pea1989_keepcrest (topography deleted 2026-09-03), relocations on. The keep/lower figure in output/experiments/pea1989_crest is now frozen"
output\raw_runs\pea1989keepnoreloc,9,300890809,"same arm, relocations off"
output\raw_runs\pea1989lower,9,300897206,"crest-shaving arm on v1_pea1989_lowercrest (topography deleted 2026-09-03), relocations on"
output\raw_runs\pea1989lowernoreloc,9,300896622,"same arm, relocations off"
output\comparisons\relocation_1984_2004\row-insert,98,70877612,"HAT_relocation_comparison.py reports for the seven set arms. Headline numbers are preserved in LINEAGE.md and RELOCATION_COMPARISON_RESULTS.md"
output\experiments\row_insert_set,42,2602059,"the set comparison (HAT_plot_row_insert_set.py): figures, set_domains.csv, set_summary.txt, gifs, logs, relocation digest. prior_calibration_run_v1_20260901/ was MOVED to output/experiments/ first, not deleted"
output\raw_runs\run_index.csv,29,0,"29 index rows of the runs above removed (arms row-insert/*, blocksv4*, islandv5, blocksdate*, blocksdsas*, blocksduneline*, blocksminimum*, pea1989keep*, pea1989lower*). The pre-edit index is kept as run_index_archive_20260907_prepurge.csv"
