gis,kind,historical_year,start_setback_m,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,historical,1999.0,40.0,0.0,2002,0,10.0,3,0.0
12,historical,1999.0,20.0,0.0,1999,0,10.0,6,0.0
13,historical,1999.0,20.0,0.0,2000,0,10.0,5,0.0
87,historical,1989.0,50.0,10.0,2001,1,20.0,4,10.0
14,historical,1999.0,60.0,40.0,2002,4,50.0,3,40.0
16,control,,40.0,40.0,1984,4,50.0,21,40.0
15,control,,60.0,50.0,2003,5,60.0,2,50.0
49,control,,90.0,60.0,2002,6,70.0,3,60.0
50,control,,90.0,60.0,2004,6,70.0,1,60.0
20,control,,70.0,70.0,1984,7,80.0,21,70.0
17,control,,90.0,90.0,1984,9,100.0,21,90.0
18,control,,120.0,120.0,1984,12,130.0,21,120.0
19,control,,130.0,130.0,1984,13,140.0,21,130.0
47,control,,150.0,130.0,1998,13,140.0,7,130.0
48,control,,150.0,130.0,2000,13,140.0,5,130.0
88,control,,160.0,130.0,2004,13,140.0,1,130.0
51,control,,155.0,135.0,1997,14,145.0,8,135.0
44,control,,160.0,140.0,2002,14,150.0,3,140.0
45,control,,150.0,140.0,1994,14,150.0,11,140.0
46,control,,150.0,140.0,1996,14,150.0,9,140.0
52,control,,170.0,140.0,2002,14,150.0,3,140.0
54,control,,160.0,140.0,1995,14,150.0,10,140.0
89,control,,160.0,140.0,2004,14,150.0,1,140.0
53,control,,170.0,150.0,1998,15,160.0,7,150.0
43,control,,170.0,160.0,1998,16,170.0,7,160.0
55,control,,170.0,160.0,1992,16,170.0,13,160.0
90,control,,160.0,160.0,1984,16,170.0,2,160.0
42,control,,180.0,170.0,1993,17,180.0,12,170.0
56,control,,180.0,170.0,1990,17,180.0,15,170.0
33,control,,180.0,180.0,1984,18,190.0,9,190.0
41,control,,200.0,180.0,2001,18,190.0,4,180.0
40,control,,210.0,190.0,1995,19,200.0,10,190.0
35,control,,195.0,195.0,1984,20,205.0,21,195.0
39,control,,230.0,200.0,2004,20,210.0,1,200.0
57,control,,210.0,200.0,1989,20,210.0,16,200.0
32,control,,210.0,210.0,1984,21,220.0,6,220.0
34,control,,210.0,210.0,1984,21,220.0,21,210.0
58,control,,240.0,240.0,1984,24,250.0,21,240.0
59,control,,270.0,270.0,1984,27,280.0,21,270.0
38,control,,300.0,280.0,1994,28,290.0,11,280.0
65,control,,290.0,290.0,1984,29,300.0,21,290.0
66,control,,290.0,290.0,1984,29,300.0,21,290.0
63,control,,300.0,300.0,1984,30,310.0,21,300.0
64,control,,300.0,300.0,1984,30,310.0,21,300.0
67,control,,300.0,300.0,1984,30,310.0,21,300.0
60,control,,310.0,310.0,1984,31,320.0,21,310.0
37,control,,330.0,320.0,1986,32,330.0,19,320.0
62,control,,320.0,320.0,1984,32,330.0,21,320.0
61,control,,330.0,330.0,1984,33,340.0,21,330.0
36,control,,350.0,340.0,1987,34,350.0,18,340.0
