source,date,year,extent_m,n_segments,n_transects_covered
nc_state,1849-01-01,1849,3369.153517367663,1.0,
nc_state,1852-01-01,1852,62673.89002871238,7.0,
nc_state,1860-01-01,1860,3600.166212321914,1.0,
nc_state,1946-01-01,1946,61929.65758436261,9.0,
nc_state,1946-04-06,1946,59568.41621494304,11.0,
nc_state,1946-04-07,1946,2303.9781189324463,1.0,
nc_state,1949-01-01,1949,5549.939075418244,2.0,
nc_state,1949-12-01,1949,4931.921732544063,2.0,
wet_dry,1967-08-25,1967,5262.427026510521,1.0,
wet_dry,1970-11-24,1970,8242.671414135131,1.0,
wet_dry,1972-07-30,1972,6067.6027689564935,1.0,
wet_dry,1972-08-09,1972,7540.33705522069,1.0,
wet_dry,1974-12-01,1974,7067.68582294159,1.0,
wet_dry,1978-12-02,1978,6121.347373856619,1.0,
nc_state,1980-01-01,1980,69687.39150989299,154.0,
coastsat,1984-05-16,1984,,,113.0
coastsat,1984-06-17,1984,,,361.0
coastsat,1984-09-21,1984,,,1250.0
coastsat,1984-10-07,1984,,,1249.0
coastsat,1984-11-08,1984,,,1172.0
coastsat,1984-11-24,1984,,,1168.0
coastsat,1984-12-26,1984,,,1247.0
coastsat,1985-01-27,1985,,,1240.0
coastsat,1985-02-28,1985,,,1070.0
coastsat,1985-04-01,1985,,,1250.0
coastsat,1985-04-17,1985,,,724.0
coastsat,1985-06-20,1985,,,137.0
coastsat,1985-07-22,1985,,,772.0
coastsat,1985-08-07,1985,,,1236.0
coastsat,1985-08-23,1985,,,771.0
wet_dry,1985-08-23,1985,5323.648531854316,1.0,
coastsat,1985-09-08,1985,,,1244.0
coastsat,1985-09-24,1985,,,370.0
coastsat,1985-10-26,1985,,,526.0
coastsat,1985-11-11,1985,,,872.0
coastsat,1985-11-27,1985,,,1168.0
coastsat,1986-01-30,1986,,,908.0
coastsat,1986-03-03,1986,,,428.0
coastsat,1986-04-04,1986,,,958.0
coastsat,1986-04-20,1986,,,1066.0
coastsat,1986-05-06,1986,,,1243.0
coastsat,1986-08-10,1986,,,987.0
coastsat,1986-08-26,1986,,,1241.0
coastsat,1986-09-11,1986,,,1112.0
coastsat,1986-09-27,1986,,,1250.0
coastsat,1986-11-14,1986,,,186.0
coastsat,1986-12-16,1986,,,1247.0
coastsat,1987-03-06,1987,,,1225.0
coastsat,1987-04-07,1987,,,1236.0
coastsat,1987-05-09,1987,,,1243.0
wet_dry,1987-07-10,1987,8238.460703367658,1.0,
coastsat,1987-07-12,1987,,,1239.0
coastsat,1987-08-13,1987,,,951.0
coastsat,1987-08-29,1987,,,257.0
coastsat,1987-09-14,1987,,,813.0
coastsat,1987-10-16,1987,,,480.0
coastsat,1987-11-17,1987,,,1211.0
coastsat,1987-12-03,1987,,,144.0
coastsat,1988-03-08,1988,,,295.0
coastsat,1988-03-24,1988,,,895.0
coastsat,1988-04-25,1988,,,1244.0
coastsat,1988-06-12,1988,,,1243.0
coastsat,1988-06-28,1988,,,1243.0
coastsat,1988-07-14,1988,,,517.0
coastsat,1988-07-30,1988,,,1211.0
coastsat,1988-08-15,1988,,,668.0
coastsat,1988-09-16,1988,,,1242.0
coastsat,1988-10-02,1988,,,1206.0
coastsat,1988-10-18,1988,,,1213.0
coastsat,1988-11-03,1988,,,1242.0
coastsat,1988-11-19,1988,,,728.0
coastsat,1988-12-05,1988,,,821.0
coastsat,1989-03-11,1989,,,747.0
coastsat,1989-03-27,1989,,,1188.0
coastsat,1989-04-28,1989,,,1061.0
coastsat,1989-05-30,1989,,,1168.0
coastsat,1989-06-15,1989,,,1165.0
coastsat,1989-07-01,1989,,,1240.0
wet_dry,1989-07-30,1989,4811.125265492724,1.0,
coastsat,1989-10-05,1989,,,1241.0
coastsat,1989-10-21,1989,,,1226.0
coastsat,1989-11-06,1989,,,83.0
coastsat,1990-05-01,1990,,,1237.0
coastsat,1990-06-02,1990,,,314.0
coastsat,1990-07-04,1990,,,916.0
coastsat,1990-08-05,1990,,,888.0
coastsat,1990-09-06,1990,,,1239.0
coastsat,1990-10-08,1990,,,1019.0
coastsat,1990-10-24,1990,,,1212.0
coastsat,1990-12-11,1990,,,1227.0
coastsat,1991-03-01,1991,,,920.0
coastsat,1991-06-05,1991,,,1192.0
coastsat,1991-07-23,1991,,,1174.0
coastsat,1991-08-08,1991,,,1172.0
coastsat,1991-09-09,1991,,,1238.0
coastsat,1991-09-25,1991,,,970.0
coastsat,1991-10-11,1991,,,1238.0
wet_dry,1991-10-19,1991,5266.2619674630205,1.0,
coastsat,1991-10-27,1991,,,1214.0
coastsat,1991-11-28,1991,,,1237.0
coastsat,1991-12-30,1991,,,1241.0
coastsat,1992-01-15,1992,,,372.0
coastsat,1992-01-31,1992,,,1231.0
coastsat,1992-02-16,1992,,,737.0
coastsat,1992-03-03,1992,,,614.0
coastsat,1992-04-04,1992,,,1245.0
coastsat,1992-06-07,1992,,,1232.0
coastsat,1992-06-23,1992,,,1197.0
coastsat,1992-08-26,1992,,,90.0
coastsat,1992-09-11,1992,,,1187.0
coastsat,1992-09-27,1992,,,1218.0
wet_dry,1992-10-02,1992,5594.419210030171,1.0,
coastsat,1992-10-13,1992,,,1235.0
coastsat,1992-10-29,1992,,,1235.0
coastsat,1992-11-30,1992,,,1239.0
coastsat,1992-12-16,1992,,,523.0
