transect_id,decade_start,decade_label,n_obs,slope_m_yr,r_squared,alongshore_m,dist_from_groin_m,origin_y,domain,baseline_lrr,anomaly_m_yr
usa_NC_0032_0017,1980,1980s,45,0.02470845483112815,1.4322388424137245e-06,3389.672309503788,-3389.3315275074856,3898605.9819825445,1,-5.894647531699994,5.919355986531122
usa_NC_0032_0017,1990,1990s,84,-5.3262469995556705,0.6628636696971322,3389.672309503788,-3389.3315275074856,3898605.9819825445,1,-5.894647531699994,0.5684005321443237
usa_NC_0032_0017,2000,2000s,172,1.2280670576093768,0.05054305123789127,3389.672309503788,-3389.3315275074856,3898605.9819825445,1,-5.894647531699994,7.122714589309371
usa_NC_0032_0017,2010,2010s,163,-6.1861978997217095,0.6304631248537305,3389.672309503788,-3389.3315275074856,3898605.9819825445,1,-5.894647531699994,-0.2915503680217153
usa_NC_0032_0017,2020,2020s,95,45.5459507115684,0.6653983072294519,3389.672309503788,-3389.3315275074856,3898605.9819825445,1,-5.894647531699994,51.4405982432684
usa_NC_0032_0018,1980,1980s,45,-2.2215296809916145,0.0145575260576144,3467.454707425136,-3311.5491295861375,3898673.5521884067,1,-5.898754941024217,3.6772252600326025
usa_NC_0032_0018,1990,1990s,86,-5.577905812460262,0.6691389285338548,3467.454707425136,-3311.5491295861375,3898673.5521884067,1,-5.898754941024217,0.320849128563955
usa_NC_0032_0018,2000,2000s,169,2.2221765650122176,0.13264918751172472,3467.454707425136,-3311.5491295861375,3898673.5521884067,1,-5.898754941024217,8.120931506036435
usa_NC_0032_0018,2010,2010s,162,-6.314120188674359,0.6371622029777921,3467.454707425136,-3311.5491295861375,3898673.5521884067,1,-5.898754941024217,-0.4153652476501417
usa_NC_0032_0018,2020,2020s,123,60.36881932049519,0.8036363675993053,3467.454707425136,-3311.5491295861375,3898673.5521884067,1,-5.898754941024217,66.26757426151941
usa_NC_0032_0019,1980,1980s,51,-3.9981103429102407,0.05488636045995432,3522.220034819096,-3256.7838021921775,3898723.1101145972,1,-5.827863121702237,1.8297527787919967
usa_NC_0032_0019,1990,1990s,103,-5.92182844532395,0.6605366248586663,3522.220034819096,-3256.7838021921775,3898723.1101145972,1,-5.827863121702237,-0.0939653236217124
usa_NC_0032_0019,2000,2000s,175,3.0537922797926718,0.23630696948508845,3522.220034819096,-3256.7838021921775,3898723.1101145972,1,-5.827863121702237,8.881655401494909
