FID_dune_2004_buffer_domains,FID_dune_2004_buffer,Shape_Leng,BUFF_DIST,ORIG_FID,FID_domains_updated,Coords,domain_id,reach,z_mean,z_max,z_min,relief_m,slope_avg,road_z,shch_myr,eros_hot,bnour,bnour_yr,bnour_src,armor,editor,edit_date,notes,hotspot,FID_Transect_Points_1m,ORIG_FID_1,ORIG_LEN,ORIG_SEQ,LineID
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,118192,12,8180.000000000000000,8181,12.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,118191,12,8179.000000000000000,8180,12.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,118190,12,8178.000000000000000,8179,12.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,128184,13,8171.000000000000000,8172,13.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,128183,13,8170.000000000000000,8171,13.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,128182,13,8169.000000000000000,8170,13.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,138170,14,8156.000000000000000,8157,14.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,138169,14,8155.000000000000000,8156,14.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,138168,14,8154.000000000000000,8155,14.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,148156,15,8141.000000000000000,8142,15.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,148155,15,8140.000000000000000,8141,15.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,148154,15,8139.000000000000000,8140,15.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,158146,16,8130.000000000000000,8131,16.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,158145,16,8129.000000000000000,8130,16.000000000000000
1,1,62831.102202699999907,1.500000000000000,0,0,3899029,1,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,158144,16,8128.000000000000000,8129,16.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,168138,17,8121.000000000000000,8122,17.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,168137,17,8120.000000000000000,8121,17.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,168136,17,8119.000000000000000,8120,17.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,178122,18,8104.000000000000000,8105,18.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,178121,18,8103.000000000000000,8104,18.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,178120,18,8102.000000000000000,8103,18.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,188105,19,8086.000000000000000,8087,19.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,188104,19,8085.000000000000000,8086,19.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,188103,19,8084.000000000000000,8085,19.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,198091,20,8071.000000000000000,8072,20.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,198090,20,8070.000000000000000,8071,20.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,198089,20,8069.000000000000000,8070,20.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,208077,21,8056.000000000000000,8057,21.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,208076,21,8055.000000000000000,8056,21.000000000000000
2,1,62831.102202699999907,1.500000000000000,0,1,3899535,2,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,208075,21,8054.000000000000000,8055,21.000000000000000
3,1,62831.102202699999907,1.500000000000000,0,2,3900040,3,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,218064,22,8042.000000000000000,8043,22.000000000000000
3,1,62831.102202699999907,1.500000000000000,0,2,3900040,3,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,0,,,,,,0,218063,22,8041.000000000000000,8042,22.000000000000000
