domain_id,annual_rate_m_per_yr,std_dev_m_per_yr,n_transects
1.0,-4.99,0.8138795979750317,5
2.0,-2.834,0.1346476884316993,5
3.0,-3.6799999999999997,0.4519402615390665,5
4.0,-2.972,0.7006925145882464,5
5.0,-2.225,1.081873375215418,2
6.0,-0.033333333333333326,1.0488724104166975,3
7.0,0.56,,1
8.0,-1.01,,1
9.0,-0.9219999999999999,0.20388722372919793,5
10.0,-1.518,0.3908580304918911,5
11.0,-0.966,0.2130258200312817,5
12.0,-0.9,0.3101612483854164,4
13.0,-0.526,0.2415160450156469,5
14.0,0.365,0.1767766952966369,2
15.0,-0.10333333333333333,0.20008331597945223,3
16.0,-0.2625,0.18518009252256754,4
17.0,0.28,0.2262741699796952,2
18.0,0.778,0.28708883642524313,5
19.0,1.2120000000000002,0.3680624946934963,5
20.0,2.518,0.2562615851039715,5
21.0,2.522,0.27707399733645155,5
22.0,2.396,0.22029525641738174,5
23.0,2.604,0.11013627921806717,5
24.0,1.6300000000000001,0.20724381776062692,5
25.0,1.59,0.21828879952943075,5
26.0,-0.276,0.30713189349203057,5
27.0,-0.45999999999999996,0.21213203435596423,2
28.0,0.48,0.22627416997969524,2
29.0,1.1280000000000001,0.6891806729733502,5
30.0,2.322,0.3486688973797346,5
31.0,3.4519999999999995,0.2921814504721338,5
32.0,4.394,0.29194177501686835,5
33.0,3.5159999999999996,0.5365910919871854,5
34.0,1.955,0.4506661735697498,4
35.0,1.3679999999999999,0.4022064146678916,5
36.0,1.08,0.28818396901979126,5
37.0,1.0,0.36769552621700474,2
38.0,1.4433333333333334,0.29737742572921266,3
39.0,-0.13199999999999998,0.22774986278810355,5
40.0,1.2433333333333332,0.49652123150307803,3
41.0,1.982,0.4056722815278362,5
42.0,1.4,0.11661903789690592,5
43.0,1.21,0.1838477631085023,2
44.0,-0.288,0.04207136793592527,5
45.0,-0.03666666666666668,0.3385754470326124,3
46.0,0.8466666666666667,0.11015141094572209,3
47.0,0.836,0.14926486525636232,5
48.0,0.292,0.2367910471280534,5
49.0,-0.172,0.25083859352181037,5
50.0,-1.0833333333333333,0.1700980109623076,3
51.0,-0.82,,1
52.0,0.99,0.21939310229205772,4
53.0,0.009999999999999981,0.8760897975283888,4
54.0,-0.686,0.19333908037435163,5
55.0,-0.784,0.26140007651108293,5
56.0,-0.704,0.37647045036762183,5
57.0,1.48,0.36769552621700474,2
58.0,2.242,0.16422545478700923,5
59.0,1.558,0.308820336117944,5
60.0,2.492,0.38925570002249144,5
61.0,2.906,0.43592430535587245,5
62.0,4.12,0.29765752132274415,5
63.0,4.851999999999999,0.22409819276379725,5
64.0,5.034000000000001,0.10406728592598183,5
65.0,5.018,0.4258168620428266,5
66.0,3.524,0.761597006296637,5
67.0,1.91,,1
68.0,1.6925000000000001,0.49969157153855076,4
69.0,2.4859999999999998,0.5747434210149779,5
70.0,2.482,0.3595413745314995,5
71.0,1.0075,0.6648997418157618,4
72.0,-1.8719999999999999,0.9972562358792247,5
73.0,-1.326,0.6369301374562204,5
74.0,-0.41500000000000004,0.06363961030678932,2
75.0,-0.722,0.26147657638878485,5
76.0,1.1,,1
77.0,0.94,,1
78.0,-1.57,,1
79.0,-2.4240000000000004,0.737177047933534,5
80.0,-1.3475,0.7858487980097271,4
81.0,-0.7175,0.1691892431568863,4
82.0,-1.874,0.6771484327678828,5
83.0,-2.425,0.515396287659635,4
84.0,-1.24,,1
85.0,-1.6239999999999999,0.35542931786784276,5
86.0,-0.7566666666666667,0.5460158727851538,3
87.0,-0.58,,1
88.0,0.87,0.2910326442171049,3
89.0,-0.34,0.06244997998398397,3
90.0,-0.32666666666666666,0.12503332889007365,3
